traveler_id,name,nationality,gender,age,synthetic,persona_match,base_city,base_country,base_country_code,base_inference,base_region,base_detailed_region,home_airport,trip_count,distinct_destinations,first_year,last_year,trips_per_year,cold_start,pref_unesco,pref_michelin,pref_weather,pref_allocentric,pref_holiday,pref_beach,pref_ski,scored_trips,median_duration_days,median_accommodation_cost,median_transportation_cost,first_class_share,loyalist_carrier,tag_labels,home_airport_is_hub,distinct_carriers,entropy,entropy_norm_global,region_entropy_norm_global,tag_count,month_share_january,month_share_february,month_share_march,month_share_april,month_share_may,month_share_june,month_share_july,month_share_august,month_share_september,month_share_october,month_share_november,month_share_december
stan-getz,Stan Getz,American,Male,43,1,authored,New York City,United States,US,declared,Americas,Northern America,JFK,30,25,2020,2025,5.0,0,0.48,0.6317,0.7178,0.3222,0.0,0.3,0.0,"{""unesco"": 29, ""michelin"": 29, ""weather"": 27, ""allocentric"": 29}",6.0,1775.0,875.0,0.0,Delta Air Lines Inc.,Delta Loyalist|Multi Hub,1,1,3.0428,0.5681,0.4774,2,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
zeus,Zeus,American,Male,67,1,authored,New York City,United States,US,declared,Americas,Northern America,JFK,30,6,2016,2025,3.0,0,0.2718,0.7527,0.7718,0.1642,0.1667,0.3333,0.0,"{""unesco"": 30, ""michelin"": 30, ""weather"": 30, ""allocentric"": 30}",6.5,1200.0,400.0,0.0,,Multi Hub,1,8,1.7918,0.3345,0.402,1,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0
circe,Circe,American,Female,44,1,authored,Houston,United States,US,declared,Americas,Northern America,IAH,28,6,2019,2025,4.0,0,0.2189,0.4378,0.7434,0.2297,0.0,0.1786,0.0,"{""unesco"": 28, ""michelin"": 28, ""weather"": 28, ""allocentric"": 28}",5.0,962.5,362.5,0.0,,United Hub,1,10,1.7865,0.3335,0.321,1,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0
demeter,Demeter,American,Female,51,1,authored,Dallas,United States,US,declared,Americas,Northern America,DFW,28,6,2019,2025,4.0,0,0.2369,0.3979,0.7325,0.2384,0.0,0.2857,0.0714,"{""unesco"": 28, ""michelin"": 28, ""weather"": 28, ""allocentric"": 28}",6.0,975.0,362.5,0.0,,American Hub,1,9,1.7865,0.3335,0.3297,1,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25
hera,Hera,American,Female,56,1,authored,Columbus,United States,US,declared,Americas,Northern America,CMH,28,6,2019,2025,4.0,0,0.1032,0.4981,0.7051,0.1708,0.0,0.25,0.0,"{""unesco"": 28, ""michelin"": 28, ""weather"": 28, ""allocentric"": 28}",4.5,975.0,300.0,0.0,,,,11,1.7865,0.3335,0.1518,0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25
mrs-hirsch,Mrs. Hirsch,American,Female,52,1,authored,Los Angeles,United States,US,declared,Americas,Northern America,LAX,28,4,2019,2025,4.0,0,0.458,0.934,,0.0737,0.0,0.0,0.0,"{""unesco"": 7, ""michelin"": 7, ""weather"": 0, ""allocentric"": 7}",7.0,1212.5,500.0,0.0,Alaska Airlines Inc.,Alaska Loyalist|Multi Hub,1,1,1.3863,0.2588,0.2242,2,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0
pandora,Pandora,American,Female,35,1,authored,Los Angeles,United States,US,declared,Americas,Northern America,LAX,28,6,2019,2025,4.0,0,0.3416,0.4547,0.7353,0.2276,0.0,0.25,0.0,"{""unesco"": 28, ""michelin"": 28, ""weather"": 28, ""allocentric"": 28}",5.0,1012.5,362.5,0.0,,Multi Hub,1,12,1.7865,0.3335,0.3297,1,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25
aphrodite,Aphrodite,American,Female,38,1,authored,San Diego,United States,US,declared,Americas,Northern America,SAN,27,6,2017,2025,3.0,0,0.2884,0.5335,0.7229,0.2293,0.0,0.3333,0.0,"{""unesco"": 27, ""michelin"": 27, ""weather"": 18, ""allocentric"": 27}",6.0,1100.0,425.0,0.0,,,,8,1.7856,0.3333,0.3334,0,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0
apollo,Apollo,American,Male,42,1,authored,Los Angeles,United States,US,declared,Americas,Northern America,LAX,27,6,2017,2025,3.0,0,0.2062,0.3427,0.7223,0.2317,0.0,0.0,0.0,"{""unesco"": 27, ""michelin"": 27, ""weather"": 27, ""allocentric"": 27}",5.0,1100.0,400.0,0.0,,Multi Hub,1,13,1.7856,0.3333,0.4074,1,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0
hercules,Hercules,American,Male,40,1,authored,Fort Worth,United States,US,declared,Americas,Northern America,DFW,27,6,2017,2025,3.0,0,0.261,0.6173,0.6886,0.2327,0.0,0.1481,0.0,"{""unesco"": 27, ""michelin"": 27, ""weather"": 19, ""allocentric"": 27}",4.0,975.0,400.0,0.0,,American Hub,1,9,1.7856,0.3333,0.3334,1,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0
orpheus,Orpheus,American,Male,45,1,authored,Columbus,United States,US,declared,Americas,Northern America,CMH,27,6,2017,2025,3.0,0,0.0,0.5688,0.7024,0.1629,0.0,0.3704,0.1481,"{""unesco"": 27, ""michelin"": 27, ""weather"": 27, ""allocentric"": 27}",5.0,1000.0,300.0,0.0,,Skier,,8,1.7856,0.3333,0.155,1,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0
prometheus,Prometheus,American,Male,55,1,authored,Phoenix,United States,US,declared,Americas,Northern America,PHX,27,6,2017,2025,3.0,0,0.2206,0.5153,0.7251,0.2434,0.0,0.3333,0.0,"{""unesco"": 27, ""michelin"": 27, ""weather"": 18, ""allocentric"": 27}",6.0,1100.0,425.0,0.0,,American Hub,1,8,1.7856,0.3333,0.3334,1,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0
aouda,Aouda,American,Female,33,1,authored,Boston,United States,US,declared,Americas,Northern America,BOS,25,5,2021,2025,5.0,0,0.4624,0.6862,0.7069,0.2515,0.0,0.4,0.0,"{""unesco"": 25, ""michelin"": 25, ""weather"": 25, ""allocentric"": 25}",7.0,1150.0,420.0,0.0,,,,7,1.6094,0.3005,0.3074,0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0
captain-nemo,Captain Nemo,American,Male,55,1,authored,Miami,United States,US,declared,Americas,Northern America,MIA,25,5,2021,2025,5.0,0,0.3076,0.435,0.7265,0.2991,0.0,0.6,0.0,"{""unesco"": 25, ""michelin"": 25, ""weather"": 25, ""allocentric"": 25}",5.0,1150.0,420.0,0.0,,American Hub,1,5,1.6094,0.3005,0.431,1,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0
helena-glenarvan,Helena Glenarvan,American,Female,40,1,authored,Seattle,United States,US,declared,Americas,Northern America,SEA,25,5,2021,2025,5.0,0,0.4756,0.8118,0.7109,0.1862,0.0,0.2,0.0,"{""unesco"": 25, ""michelin"": 25, ""weather"": 25, ""allocentric"": 25}",7.0,1150.0,420.0,0.0,,Alaska Hub,1,8,1.6094,0.3005,0.3413,1,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0
impey-barbicane,Impey Barbicane,American,Male,53,1,authored,Atlanta,United States,US,declared,Americas,Northern America,ATL,25,5,2021,2025,5.0,0,0.5278,0.5302,0.705,0.2501,0.0,0.44,0.0,"{""unesco"": 25, ""michelin"": 25, ""weather"": 25, ""allocentric"": 25}",5.0,1150.0,420.0,0.0,,Delta Hub,1,8,1.6094,0.3005,0.431,1,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0
jean-passepartout,Jean Passepartout,American,Male,35,1,authored,New York City,United States,US,declared,Americas,Northern America,JFK,25,5,2021,2025,5.0,0,0.6098,0.6696,0.6982,0.2518,0.0,0.2,0.0,"{""unesco"": 25, ""michelin"": 25, ""weather"": 25, ""allocentric"": 25}",7.0,1150.0,420.0,0.0,,Multi Hub,1,8,1.6094,0.3005,0.3074,1,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0
mary-grant,Mary Grant,American,Female,31,1,authored,Philadelphia,United States,US,declared,Americas,Northern America,PHL,25,5,2021,2025,5.0,0,0.289,0.4694,0.6959,0.2653,0.0,0.6,0.0,"{""unesco"": 25, ""michelin"": 25, ""weather"": 25, ""allocentric"": 25}",5.0,1150.0,420.0,0.0,,American Hub,1,4,1.6094,0.3005,0.431,1,0.2,0.0,0.2,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0
michel-ardan,Michel Ardan,American,Male,44,1,authored,Dallas,United States,US,declared,Americas,Northern America,DFW,25,5,2021,2025,5.0,0,0.552,0.7742,0.6887,0.215,0.0,0.2,0.0,"{""unesco"": 25, ""michelin"": 25, ""weather"": 25, ""allocentric"": 25}",7.0,1150.0,420.0,0.0,,American Hub,1,7,1.6094,0.3005,0.431,1,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0
nadia-fedor,Nadia Fedor,American,Female,37,1,authored,Denver,United States,US,declared,Americas,Northern America,DEN,25,5,2021,2025,5.0,0,0.3707,0.6442,0.6842,0.2217,0.0,0.4,0.0,"{""unesco"": 20, ""michelin"": 20, ""weather"": 20, ""allocentric"": 20}",5.0,1150.0,420.0,0.0,,United Hub,1,8,1.6094,0.3005,0.3413,1,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0
ned-land,Ned Land,American,Male,42,1,authored,San Francisco,United States,US,declared,Americas,Northern America,SFO,25,5,2021,2025,5.0,0,0.4232,0.7372,0.7183,0.2535,0.0,0.4,0.0,"{""unesco"": 25, ""michelin"": 25, ""weather"": 25, ""allocentric"": 25}",7.0,1150.0,420.0,0.0,,United Hub,1,5,1.6094,0.3005,0.431,1,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0
otto-lidenbrock,Otto Lidenbrock,American,Male,61,1,authored,Chicago,United States,US,declared,Americas,Northern America,ORD,25,5,2021,2025,5.0,0,0.6064,0.6972,0.7424,0.2531,0.0,0.4,0.0,"{""unesco"": 25, ""michelin"": 25, ""weather"": 25, ""allocentric"": 25}",7.0,1150.0,420.0,0.0,,Multi Hub,1,10,1.6094,0.3005,0.431,1,0.2,0.0,0.2,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0
phileas-fogg,Phileas Fogg,American,Male,46,1,authored,New York City,United States,US,declared,Americas,Northern America,JFK,25,5,2021,2025,5.0,0,0.5334,0.7778,0.7282,0.2136,0.0,0.4,0.0,"{""unesco"": 25, ""michelin"": 25, ""weather"": 25, ""allocentric"": 25}",7.0,1150.0,420.0,0.0,,Multi Hub,1,6,1.6094,0.3005,0.431,1,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0
pierre-aronnax,Pierre Aronnax,American,Male,48,1,authored,Boston,United States,US,declared,Americas,Northern America,BOS,25,5,2021,2025,5.0,0,0.3545,0.6152,0.7107,0.269,0.0,0.4,0.0,"{""unesco"": 20, ""michelin"": 20, ""weather"": 20, ""allocentric"": 20}",7.0,1150.0,420.0,0.0,,,,8,1.6094,0.3005,0.431,0,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0
artemis,Artemis,American,Female,33,1,authored,Chicago,United States,US,declared,Americas,Northern America,MDW,24,6,2018,2025,3.0,0,0.1245,0.3283,0.7695,0.2063,0.125,0.3333,0.0,"{""unesco"": 24, ""michelin"": 24, ""weather"": 24, ""allocentric"": 24}",5.0,987.5,325.0,0.0,,Multi Hub,0,4,1.7918,0.3345,0.2059,1,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0
atlas,Atlas,American,Male,47,1,authored,San Jose,United States,US,declared,Americas,Northern America,SJC,24,6,2018,2025,3.0,0,0.1734,0.2362,0.699,0.216,0.0,0.3333,0.0,"{""unesco"": 20, ""michelin"": 20, ""weather"": 12, ""allocentric"": 20}",4.5,1012.5,337.5,0.0,,,,7,1.7918,0.3345,0.2059,0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0
ella-fitzgerald,Ella Fitzgerald,American,Female,40,1,authored,Cincinnati,United States,US,declared,Americas,Northern America,CVG,24,1,2018,2025,3.0,1,0.0,0.653,0.7483,0.1487,0.3333,1.0,0.0,"{""unesco"": 24, ""michelin"": 24, ""weather"": 24, ""allocentric"": 24}",6.0,,250.0,0.0,Delta Air Lines Inc.,Delta Loyalist,,1,0.0,0.0,0.0,1,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,0.3333
galileo-galilei,Galileo Galilei,American,Male,45,1,authored,Washington,United States,US,declared,Americas,Northern America,DCA,24,1,2018,2025,3.0,1,0.0,0.653,0.727,0.1487,0.3333,1.0,0.0,"{""unesco"": 24, ""michelin"": 24, ""weather"": 24, ""allocentric"": 24}",6.0,1150.0,350.0,0.0,American Airlines Inc.,American Loyalist|Multi Hub,1,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.3333,0.0,0.3333,0.0,0.0,0.0,0.0,0.3333
king-midas,King Midas,American,Male,64,1,authored,Charlotte,United States,US,declared,Americas,Northern America,CLT,24,6,2018,2025,3.0,0,0.2836,0.6186,0.7515,0.2107,0.0,0.3333,0.0,"{""unesco"": 20, ""michelin"": 20, ""weather"": 16, ""allocentric"": 20}",5.5,1037.5,375.0,0.0,,American Hub,1,9,1.7918,0.3345,0.402,1,0.0,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.3333,0.0
medusa,Medusa,American,Female,38,1,authored,San Antonio,United States,US,declared,Americas,Northern America,SAT,24,6,2020,2025,4.0,0,0.2008,0.3283,0.7494,0.2799,0.0,0.3333,0.0,"{""unesco"": 24, ""michelin"": 24, ""weather"": 24, ""allocentric"": 24}",5.0,912.5,362.5,0.0,,,,8,1.7918,0.3345,0.2242,0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0
miles-davis,Miles Davis,American,Male,49,1,authored,Boston,United States,US,declared,Americas,Northern America,BOS,24,12,2020,2025,4.0,0,0.6094,0.764,0.732,0.2791,0.0,0.0833,0.0,"{""unesco"": 24, ""michelin"": 24, ""weather"": 24, ""allocentric"": 24}",6.0,1812.5,900.0,0.0,Delta Air Lines Inc.,Delta Loyalist,,1,2.4849,0.4639,0.3364,1,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0
miss-gage,Miss Gage,American,Female,35,1,authored,Kansas City,United States,US,declared,Americas,Northern America,MCI,24,3,2018,2025,3.0,0,0.0,0.2833,0.753,0.2178,0.0,0.6667,0.0,"{""unesco"": 24, ""michelin"": 24, ""weather"": 24, ""allocentric"": 24}",5.0,1050.0,325.0,0.0,Southwest Airlines Co.,Southwest Loyalist,,1,1.0986,0.2051,0.2059,1,0.0,0.3333,0.0,0.0,0.3333,0.0,0.0,0.0,0.3333,0.0,0.0,0.0
mr-meyers,Mr. Meyers,American,Male,43,1,authored,Nashville,United States,US,declared,Americas,Northern America,BNA,24,1,2018,2025,3.0,1,,,,,0.3333,0.0,0.0,"{""unesco"": 0, ""michelin"": 0, ""weather"": 0, ""allocentric"": 0}",6.0,1150.0,350.0,0.0,Southwest Airlines Co.,Southwest Loyalist,,1,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.3333,0.0,0.3333,0.0,0.0,0.0,0.0,0.3333
