trip_id,traveler_name,holiday,holiday_date,start_date,end_date,nights,origin_airport,destination_airport,destination_city,carrier_name,distance_km,route_carriers
HKR-2022-05-27,Krebs,Memorial Day,2022-05-30,2022-05-27,2022-05-30,3,OKC,DFW,Dallas-Fort Worth,American Airlines Inc.,282.4,"AA, US"
HKR-2022-06-18,Krebs,Juneteenth,2022-06-19,2022-06-18,2022-06-21,3,OKC,DEN,Denver,United Air Lines Inc.,796.3,"F9, FL, UA, WN"
HKR-2023-05-26,Krebs,Memorial Day,2023-05-29,2023-05-26,2023-05-29,3,OKC,DFW,Dallas-Fort Worth,American Airlines Inc.,282.4,"AA, US"
HKR-2023-06-18,Krebs,Juneteenth,2023-06-19,2023-06-18,2023-06-21,3,OKC,DEN,Denver,United Air Lines Inc.,796.3,"F9, FL, UA, WN"
HKR-2024-05-24,Krebs,Memorial Day,2024-05-27,2024-05-24,2024-05-27,3,OKC,DFW,Dallas-Fort Worth,American Airlines Inc.,282.4,"AA, US"
HKR-2024-06-18,Krebs,Juneteenth,2024-06-19,2024-06-18,2024-06-21,3,OKC,DEN,Denver,United Air Lines Inc.,796.3,"F9, FL, UA, WN"
HKR-2025-05-23,Krebs,Memorial Day,2025-05-26,2025-05-23,2025-05-26,3,OKC,DFW,Dallas-Fort Worth,American Airlines Inc.,282.4,"AA, US"
HKR-2025-06-18,Krebs,Juneteenth,2025-06-19,2025-06-18,2025-06-21,3,OKC,DEN,Denver,United Air Lines Inc.,796.3,"F9, FL, UA, WN"
HMG-2021-05-28,Manuel Garcia,Memorial Day,2021-05-31,2021-05-28,2021-05-31,3,LAX,LAS,Las Vegas,American Airlines Inc.,380.0,"4B, AA, AS, DL, FL, NK, UA, US, VX, WN"
HMG-2021-07-02,Manuel Garcia,Independence Day,2021-07-04,2021-07-02,2021-07-06,4,LAX,SAN,San Diego,American Airlines Inc.,175.7,"AA, AS, DL, UA, US"
HMG-2022-05-27,Manuel Garcia,Memorial Day,2022-05-30,2022-05-27,2022-05-30,3,LAX,LAS,Las Vegas,American Airlines Inc.,380.0,"4B, AA, AS, DL, FL, NK, UA, US, VX, WN"
HMG-2022-07-02,Manuel Garcia,Independence Day,2022-07-04,2022-07-02,2022-07-06,4,LAX,SAN,San Diego,American Airlines Inc.,175.7,"AA, AS, DL, UA, US"
HMG-2023-05-26,Manuel Garcia,Memorial Day,2023-05-29,2023-05-26,2023-05-29,3,LAX,LAS,Las Vegas,American Airlines Inc.,380.0,"4B, AA, AS, DL, FL, NK, UA, US, VX, WN"
HMG-2023-07-02,Manuel Garcia,Independence Day,2023-07-04,2023-07-02,2023-07-06,4,LAX,SAN,San Diego,American Airlines Inc.,175.7,"AA, AS, DL, UA, US"
HMG-2024-05-24,Manuel Garcia,Memorial Day,2024-05-27,2024-05-24,2024-05-27,3,LAX,LAS,Las Vegas,American Airlines Inc.,380.0,"4B, AA, AS, DL, FL, NK, UA, US, VX, WN"
HMG-2024-07-02,Manuel Garcia,Independence Day,2024-07-04,2024-07-02,2024-07-06,4,LAX,SAN,San Diego,American Airlines Inc.,175.7,"AA, AS, DL, UA, US"
HMG-2025-05-23,Manuel Garcia,Memorial Day,2025-05-26,2025-05-23,2025-05-26,3,LAX,LAS,Las Vegas,American Airlines Inc.,380.0,"4B, AA, AS, DL, FL, NK, UA, US, VX, WN"
HMG-2025-07-02,Manuel Garcia,Independence Day,2025-07-04,2025-07-02,2025-07-06,4,LAX,SAN,San Diego,American Airlines Inc.,175.7,"AA, AS, DL, UA, US"
HMC-2021-09-03,Mike Campbell,Labor Day,2021-09-06,2021-09-03,2021-09-06,3,BOS,CLT,Charlotte,American Airlines Inc.,1170.7,"AA, B6, US"
HMC-2021-10-08,Mike Campbell,Columbus Day,2021-10-11,2021-10-08,2021-10-11,3,BOS,MIA,Miami,American Airlines Inc.,2028.3,"AA, DL, US"
HMC-2022-09-02,Mike Campbell,Labor Day,2022-09-05,2022-09-02,2022-09-05,3,BOS,CLT,Charlotte,American Airlines Inc.,1170.7,"AA, B6, US"
HMC-2022-10-07,Mike Campbell,Columbus Day,2022-10-10,2022-10-07,2022-10-10,3,BOS,MIA,Miami,American Airlines Inc.,2028.3,"AA, DL, US"
HMC-2023-09-01,Mike Campbell,Labor Day,2023-09-04,2023-09-01,2023-09-04,3,BOS,CLT,Charlotte,American Airlines Inc.,1170.7,"AA, B6, US"
HMC-2023-10-06,Mike Campbell,Columbus Day,2023-10-09,2023-10-06,2023-10-09,3,BOS,MIA,Miami,American Airlines Inc.,2028.3,"AA, DL, US"
HMC-2024-08-30,Mike Campbell,Labor Day,2024-09-02,2024-08-30,2024-09-02,3,BOS,CLT,Charlotte,American Airlines Inc.,1170.7,"AA, B6, US"
HMC-2024-10-11,Mike Campbell,Columbus Day,2024-10-14,2024-10-11,2024-10-14,3,BOS,MIA,Miami,American Airlines Inc.,2028.3,"AA, DL, US"
HMC-2025-08-29,Mike Campbell,Labor Day,2025-09-01,2025-08-29,2025-09-01,3,BOS,CLT,Charlotte,American Airlines Inc.,1170.7,"AA, B6, US"
HMC-2025-10-10,Mike Campbell,Columbus Day,2025-10-13,2025-10-10,2025-10-13,3,BOS,MIA,Miami,American Airlines Inc.,2028.3,"AA, DL, US"
HNA-2021-06-18,Nick Adams,Father's Day,2021-06-20,2021-06-18,2021-06-20,2,ORD,TVC,Traverse City,United Air Lines Inc.,360.0,"AA, UA, US"
HNA-2021-09-03,Nick Adams,Labor Day,2021-09-06,2021-09-03,2021-09-06,3,ORD,TVC,Traverse City,United Air Lines Inc.,360.0,"AA, UA, US"
HNA-2021-10-08,Nick Adams,Columbus Day,2021-10-11,2021-10-08,2021-10-11,3,ORD,TVC,Traverse City,United Air Lines Inc.,360.0,"AA, UA, US"
HNA-2022-06-17,Nick Adams,Father's Day,2022-06-19,2022-06-17,2022-06-19,2,ORD,TVC,Traverse City,United Air Lines Inc.,360.0,"AA, UA, US"
HNA-2022-09-02,Nick Adams,Labor Day,2022-09-05,2022-09-02,2022-09-05,3,ORD,TVC,Traverse City,United Air Lines Inc.,360.0,"AA, UA, US"
HNA-2022-10-07,Nick Adams,Columbus Day,2022-10-10,2022-10-07,2022-10-10,3,ORD,TVC,Traverse City,United Air Lines Inc.,360.0,"AA, UA, US"
HNA-2023-06-16,Nick Adams,Father's Day,2023-06-18,2023-06-16,2023-06-18,2,ORD,TVC,Traverse City,United Air Lines Inc.,360.0,"AA, UA, US"
HNA-2023-09-01,Nick Adams,Labor Day,2023-09-04,2023-09-01,2023-09-04,3,ORD,TVC,Traverse City,United Air Lines Inc.,360.0,"AA, UA, US"
HNA-2023-10-06,Nick Adams,Columbus Day,2023-10-09,2023-10-06,2023-10-09,3,ORD,TVC,Traverse City,United Air Lines Inc.,360.0,"AA, UA, US"
HNA-2024-06-14,Nick Adams,Father's Day,2024-06-16,2024-06-14,2024-06-16,2,ORD,TVC,Traverse City,United Air Lines Inc.,360.0,"AA, UA, US"
HNA-2024-08-30,Nick Adams,Labor Day,2024-09-02,2024-08-30,2024-09-02,3,ORD,TVC,Traverse City,United Air Lines Inc.,360.0,"AA, UA, US"
HNA-2024-10-11,Nick Adams,Columbus Day,2024-10-14,2024-10-11,2024-10-14,3,ORD,TVC,Traverse City,United Air Lines Inc.,360.0,"AA, UA, US"
HNA-2025-06-13,Nick Adams,Father's Day,2025-06-15,2025-06-13,2025-06-15,2,ORD,TVC,Traverse City,United Air Lines Inc.,360.0,"AA, UA, US"
HNA-2025-08-29,Nick Adams,Labor Day,2025-09-01,2025-08-29,2025-09-01,3,ORD,TVC,Traverse City,United Air Lines Inc.,360.0,"AA, UA, US"
HNA-2025-10-10,Nick Adams,Columbus Day,2025-10-13,2025-10-10,2025-10-13,3,ORD,TVC,Traverse City,United Air Lines Inc.,360.0,"AA, UA, US"
HOA-2021-06-18,Ole Andreson,Juneteenth,2021-06-19,2021-06-18,2021-06-21,3,ORD,MKE,Milwaukee,United Air Lines Inc.,107.7,"AA, UA, US"
HOA-2021-10-08,Ole Andreson,Columbus Day,2021-10-11,2021-10-08,2021-10-11,3,ORD,STL,St. Louis,United Air Lines Inc.,415.4,"AA, UA, US"
HOA-2022-06-18,Ole Andreson,Juneteenth,2022-06-19,2022-06-18,2022-06-21,3,ORD,MKE,Milwaukee,United Air Lines Inc.,107.7,"AA, UA, US"
HOA-2022-10-07,Ole Andreson,Columbus Day,2022-10-10,2022-10-07,2022-10-10,3,ORD,STL,St. Louis,United Air Lines Inc.,415.4,"AA, UA, US"
HOA-2023-06-18,Ole Andreson,Juneteenth,2023-06-19,2023-06-18,2023-06-21,3,ORD,MKE,Milwaukee,United Air Lines Inc.,107.7,"AA, UA, US"
HOA-2023-10-06,Ole Andreson,Columbus Day,2023-10-09,2023-10-06,2023-10-09,3,ORD,STL,St. Louis,United Air Lines Inc.,415.4,"AA, UA, US"
HOA-2024-06-18,Ole Andreson,Juneteenth,2024-06-19,2024-06-18,2024-06-21,3,ORD,MKE,Milwaukee,United Air Lines Inc.,107.7,"AA, UA, US"
HOA-2024-10-11,Ole Andreson,Columbus Day,2024-10-14,2024-10-11,2024-10-14,3,ORD,STL,St. Louis,United Air Lines Inc.,415.4,"AA, UA, US"
HOA-2025-06-18,Ole Andreson,Juneteenth,2025-06-19,2025-06-18,2025-06-21,3,ORD,MKE,Milwaukee,United Air Lines Inc.,107.7,"AA, UA, US"
HOA-2025-10-10,Ole Andreson,Columbus Day,2025-10-13,2025-10-10,2025-10-13,3,ORD,STL,St. Louis,United Air Lines Inc.,415.4,"AA, UA, US"
HPR-2021-06-18,Pedro Romero,Juneteenth,2021-06-19,2021-06-18,2021-06-21,3,SAT,PHX,Phoenix,American Airlines Inc.,1354.1,"AA, FL, US, WN"
HPR-2021-07-02,Pedro Romero,Independence Day,2021-07-04,2021-07-02,2021-07-06,4,SAT,DEN,Denver,United Air Lines Inc.,1279.9,"FL, UA, WN"
HPR-2022-06-18,Pedro Romero,Juneteenth,2022-06-19,2022-06-18,2022-06-21,3,SAT,PHX,Phoenix,American Airlines Inc.,1354.1,"AA, FL, US, WN"
HPR-2022-07-02,Pedro Romero,Independence Day,2022-07-04,2022-07-02,2022-07-06,4,SAT,DEN,Denver,United Air Lines Inc.,1279.9,"FL, UA, WN"
HPR-2023-06-18,Pedro Romero,Juneteenth,2023-06-19,2023-06-18,2023-06-21,3,SAT,PHX,Phoenix,American Airlines Inc.,1354.1,"AA, FL, US, WN"
HPR-2023-07-02,Pedro Romero,Independence Day,2023-07-04,2023-07-02,2023-07-06,4,SAT,DEN,Denver,United Air Lines Inc.,1279.9,"FL, UA, WN"
HPR-2024-06-18,Pedro Romero,Juneteenth,2024-06-19,2024-06-18,2024-06-21,3,SAT,PHX,Phoenix,American Airlines Inc.,1354.1,"AA, FL, US, WN"
HPR-2024-07-02,Pedro Romero,Independence Day,2024-07-04,2024-07-02,2024-07-06,4,SAT,DEN,Denver,United Air Lines Inc.,1279.9,"FL, UA, WN"
HPR-2025-06-18,Pedro Romero,Juneteenth,2025-06-19,2025-06-18,2025-06-21,3,SAT,PHX,Phoenix,American Airlines Inc.,1354.1,"AA, FL, US, WN"
HPR-2025-07-02,Pedro Romero,Independence Day,2025-07-04,2025-07-02,2025-07-06,4,SAT,DEN,Denver,United Air Lines Inc.,1279.9,"FL, UA, WN"
HRI-2021-06-18,Rinaldi,Father's Day,2021-06-20,2021-06-18,2021-06-20,2,PHL,PIT,Pittsburgh,American Airlines Inc.,429.6,"AA, US"
HRI-2021-10-08,Rinaldi,Columbus Day,2021-10-11,2021-10-08,2021-10-11,3,PHL,RDU,Raleigh-durham,American Airlines Inc.,542.3,"AA, DL, US"
HRI-2022-06-17,Rinaldi,Father's Day,2022-06-19,2022-06-17,2022-06-19,2,PHL,PIT,Pittsburgh,American Airlines Inc.,429.6,"AA, US"
HRI-2022-10-07,Rinaldi,Columbus Day,2022-10-10,2022-10-07,2022-10-10,3,PHL,RDU,Raleigh-durham,American Airlines Inc.,542.3,"AA, DL, US"
HRI-2023-06-16,Rinaldi,Father's Day,2023-06-18,2023-06-16,2023-06-18,2,PHL,PIT,Pittsburgh,American Airlines Inc.,429.6,"AA, US"
HRI-2023-10-06,Rinaldi,Columbus Day,2023-10-09,2023-10-06,2023-10-09,3,PHL,RDU,Raleigh-durham,American Airlines Inc.,542.3,"AA, DL, US"
HRI-2024-06-14,Rinaldi,Father's Day,2024-06-16,2024-06-14,2024-06-16,2,PHL,PIT,Pittsburgh,American Airlines Inc.,429.6,"AA, US"
HRI-2024-10-11,Rinaldi,Columbus Day,2024-10-14,2024-10-11,2024-10-14,3,PHL,RDU,Raleigh-durham,American Airlines Inc.,542.3,"AA, DL, US"
HRI-2025-06-13,Rinaldi,Father's Day,2025-06-15,2025-06-13,2025-06-15,2,PHL,PIT,Pittsburgh,American Airlines Inc.,429.6,"AA, US"
HRI-2025-10-10,Rinaldi,Columbus Day,2025-10-13,2025-10-10,2025-10-13,3,PHL,RDU,Raleigh-durham,American Airlines Inc.,542.3,"AA, DL, US"
HRC-2021-07-02,Robert Cohn,Independence Day,2021-07-04,2021-07-02,2021-07-06,4,EWR,BOS,Boston,United Air Lines Inc.,322.3,"B6, DL, UA"
HRC-2021-09-03,Robert Cohn,Labor Day,2021-09-06,2021-09-03,2021-09-06,3,EWR,PWM,Portland,United Air Lines Inc.,457.1,UA
HRC-2022-07-02,Robert Cohn,Independence Day,2022-07-04,2022-07-02,2022-07-06,4,EWR,BOS,Boston,United Air Lines Inc.,322.3,"B6, DL, UA"
HRC-2022-09-02,Robert Cohn,Labor Day,2022-09-05,2022-09-02,2022-09-05,3,EWR,PWM,Portland,United Air Lines Inc.,457.1,UA
HRC-2023-07-02,Robert Cohn,Independence Day,2023-07-04,2023-07-02,2023-07-06,4,EWR,BOS,Boston,United Air Lines Inc.,322.3,"B6, DL, UA"
HRC-2023-09-01,Robert Cohn,Labor Day,2023-09-04,2023-09-01,2023-09-04,3,EWR,PWM,Portland,United Air Lines Inc.,457.1,UA
HRC-2024-07-02,Robert Cohn,Independence Day,2024-07-04,2024-07-02,2024-07-06,4,EWR,BOS,Boston,United Air Lines Inc.,322.3,"B6, DL, UA"
HRC-2024-08-30,Robert Cohn,Labor Day,2024-09-02,2024-08-30,2024-09-02,3,EWR,PWM,Portland,United Air Lines Inc.,457.1,UA
HRC-2025-07-02,Robert Cohn,Independence Day,2025-07-04,2025-07-02,2025-07-06,4,EWR,BOS,Boston,United Air Lines Inc.,322.3,"B6, DL, UA"
HRC-2025-08-29,Robert Cohn,Labor Day,2025-09-01,2025-08-29,2025-09-01,3,EWR,PWM,Portland,United Air Lines Inc.,457.1,UA
