trip_id,traveler_name,window,start_date,weekday,end_date,nights,origin_airport,destination_airport,destination_city,carrier_name,distance_km,transportation_cost,route_carriers
OPN-2022-08-31,Captain Nemo,LateAugust,2022-08-31,Wednesday,2022-09-05,5,MIA,CHS,Charleston,American Airlines Inc.,790.5,215.0,"AA, US"
OPN-2023-01-11,Captain Nemo,January,2023-01-11,Wednesday,2023-01-18,7,MIA,MAD,Madrid,Iberia Air Lines Of Spain,7107.3,420.0,"AA, AY, BA, IB, US, UX"
OPN-2023-04-26,Captain Nemo,LateApril,2023-04-26,Wednesday,2023-05-03,7,MIA,LIS,Lisbon,TAP-TAP Air Portugal,6677.2,420.0,"TP, UA"
OPN-2023-06-14,Captain Nemo,June,2023-06-14,Wednesday,2023-06-19,5,MIA,SJU,San Juan,American Airlines Inc.,1682.0,420.0,"AA, US"
OPN-2023-07-12,Captain Nemo,July,2023-07-12,Wednesday,2023-07-17,5,MIA,CUN,Cancun,American Airlines Inc.,855.0,420.0,"AA, LA, US"
OPN-2023-08-30,Captain Nemo,LateAugust,2023-08-30,Wednesday,2023-09-04,5,MIA,CHS,Charleston,American Airlines Inc.,790.5,215.0,"AA, US"
OPN-2024-01-10,Captain Nemo,January,2024-01-10,Wednesday,2024-01-17,7,MIA,MAD,Madrid,American Airlines Inc.,7107.3,420.0,"AA, AY, BA, IB, US, UX"
OPN-2024-04-24,Captain Nemo,LateApril,2024-04-24,Wednesday,2024-05-01,7,MIA,LIS,Lisbon,United Air Lines Inc.,6677.2,420.0,"TP, UA"
OPN-2024-06-12,Captain Nemo,June,2024-06-12,Wednesday,2024-06-17,5,MIA,SJU,San Juan,American Airlines Inc.,1682.0,420.0,"AA, US"
OPN-2024-07-10,Captain Nemo,July,2024-07-10,Wednesday,2024-07-15,5,MIA,CUN,Cancun,American Airlines Inc.,855.0,420.0,"AA, LA, US"
OPN-2024-08-28,Captain Nemo,LateAugust,2024-08-28,Wednesday,2024-09-02,5,MIA,CHS,Charleston,American Airlines Inc.,790.5,215.0,"AA, US"
OPN-2025-01-08,Captain Nemo,January,2025-01-08,Wednesday,2025-01-15,7,MIA,MAD,Madrid,British Airways Plc,7107.3,420.0,"AA, AY, BA, IB, US, UX"
OPN-2025-04-30,Captain Nemo,LateApril,2025-04-30,Wednesday,2025-05-07,7,MIA,LIS,Lisbon,TAP-TAP Air Portugal,6677.2,420.0,"TP, UA"
OPN-2025-06-11,Captain Nemo,June,2025-06-11,Wednesday,2025-06-16,5,MIA,SJU,San Juan,American Airlines Inc.,1682.0,420.0,"AA, US"
OPN-2025-07-09,Captain Nemo,July,2025-07-09,Wednesday,2025-07-14,5,MIA,CUN,Cancun,American Airlines Inc.,855.0,420.0,"AA, LA, US"
OPN-2025-08-27,Captain Nemo,LateAugust,2025-08-27,Wednesday,2025-09-01,5,MIA,CHS,Charleston,American Airlines Inc.,790.5,215.0,"AA, US"
OPH-2021-01-13,Helena Glenarvan,January,2021-01-13,Wednesday,2021-01-20,7,SEA,CDG,Paris,Compagnie Natl Air France,8049.2,420.0,"AF, AZ, DL"
OPH-2021-03-03,Helena Glenarvan,March,2021-03-03,Wednesday,2021-03-10,7,SEA,DUB,Dublin,Aer Lingus Plc,7283.4,420.0,EI
OPH-2021-04-28,Helena Glenarvan,LateApril,2021-04-28,Wednesday,2021-05-05,7,SEA,AMS,Amsterdam,Delta Air Lines Inc.,7840.0,420.0,"DL, KL"
OPH-2021-08-25,Helena Glenarvan,LateAugust,2021-08-25,Wednesday,2021-08-30,5,SEA,MCO,Orlando,American Airlines Inc.,4104.7,215.0,"AA, AS, DL"
OPH-2021-09-08,Helena Glenarvan,September,2021-09-08,Wednesday,2021-09-15,7,SEA,LHR,London,American Airlines Inc.,7702.1,420.0,"AA, AF, AY, BA, DL, IB, KL, VS"
OPH-2022-01-12,Helena Glenarvan,January,2022-01-12,Wednesday,2022-01-19,7,SEA,CDG,Paris,Delta Air Lines Inc.,8049.2,420.0,"AF, AZ, DL"
OPH-2022-03-02,Helena Glenarvan,March,2022-03-02,Wednesday,2022-03-09,7,SEA,DUB,Dublin,Aer Lingus Plc,7283.4,420.0,EI
OPH-2022-04-27,Helena Glenarvan,LateApril,2022-04-27,Wednesday,2022-05-04,7,SEA,AMS,Amsterdam,Klm Royal Dutch Airlines,7840.0,420.0,"DL, KL"
OPH-2022-08-31,Helena Glenarvan,LateAugust,2022-08-31,Wednesday,2022-09-05,5,SEA,MCO,Orlando,Alaska Airlines Inc.,4104.7,215.0,"AA, AS, DL"
OPH-2022-09-14,Helena Glenarvan,September,2022-09-14,Wednesday,2022-09-21,7,SEA,LHR,London,Compagnie Natl Air France,7702.1,420.0,"AA, AF, AY, BA, DL, IB, KL, VS"
OPH-2023-01-11,Helena Glenarvan,January,2023-01-11,Wednesday,2023-01-18,7,SEA,CDG,Paris,Compagnie Natl Air France,8049.2,420.0,"AF, AZ, DL"
OPH-2023-03-01,Helena Glenarvan,March,2023-03-01,Wednesday,2023-03-08,7,SEA,DUB,Dublin,Aer Lingus Plc,7283.4,420.0,EI
OPH-2023-04-26,Helena Glenarvan,LateApril,2023-04-26,Wednesday,2023-05-03,7,SEA,AMS,Amsterdam,Delta Air Lines Inc.,7840.0,420.0,"DL, KL"
OPH-2023-08-30,Helena Glenarvan,LateAugust,2023-08-30,Wednesday,2023-09-04,5,SEA,MCO,Orlando,Delta Air Lines Inc.,4104.7,215.0,"AA, AS, DL"
OPH-2023-09-13,Helena Glenarvan,September,2023-09-13,Wednesday,2023-09-20,7,SEA,LHR,London,British Airways Plc,7702.1,420.0,"AA, AF, AY, BA, DL, IB, KL, VS"
OPH-2024-01-10,Helena Glenarvan,January,2024-01-10,Wednesday,2024-01-17,7,SEA,CDG,Paris,Delta Air Lines Inc.,8049.2,420.0,"AF, AZ, DL"
OPH-2024-03-06,Helena Glenarvan,March,2024-03-06,Wednesday,2024-03-13,7,SEA,DUB,Dublin,Aer Lingus Plc,7283.4,420.0,EI
OPH-2024-04-24,Helena Glenarvan,LateApril,2024-04-24,Wednesday,2024-05-01,7,SEA,AMS,Amsterdam,Klm Royal Dutch Airlines,7840.0,420.0,"DL, KL"
OPH-2024-08-28,Helena Glenarvan,LateAugust,2024-08-28,Wednesday,2024-09-02,5,SEA,MCO,Orlando,American Airlines Inc.,4104.7,215.0,"AA, AS, DL"
OPH-2024-09-11,Helena Glenarvan,September,2024-09-11,Wednesday,2024-09-18,7,SEA,LHR,London,Delta Air Lines Inc.,7702.1,420.0,"AA, AF, AY, BA, DL, IB, KL, VS"
OPH-2025-01-08,Helena Glenarvan,January,2025-01-08,Wednesday,2025-01-15,7,SEA,CDG,Paris,Compagnie Natl Air France,8049.2,420.0,"AF, AZ, DL"
OPH-2025-03-05,Helena Glenarvan,March,2025-03-05,Wednesday,2025-03-12,7,SEA,DUB,Dublin,Aer Lingus Plc,7283.4,420.0,EI
OPH-2025-04-30,Helena Glenarvan,LateApril,2025-04-30,Wednesday,2025-05-07,7,SEA,AMS,Amsterdam,Delta Air Lines Inc.,7840.0,420.0,"DL, KL"
OPH-2025-08-27,Helena Glenarvan,LateAugust,2025-08-27,Wednesday,2025-09-01,5,SEA,MCO,Orlando,Alaska Airlines Inc.,4104.7,215.0,"AA, AS, DL"
OPH-2025-09-10,Helena Glenarvan,September,2025-09-10,Wednesday,2025-09-17,7,SEA,LHR,London,Iberia Air Lines Of Spain,7702.1,420.0,"AA, AF, AY, BA, DL, IB, KL, VS"
OPB-2021-01-13,Impey Barbicane,January,2021-01-13,Wednesday,2021-01-20,7,ATL,LHR,London,American Airlines Inc.,6760.8,420.0,"AA, AF, AY, BA, DL, IB, KL, VS"
OPB-2021-04-28,Impey Barbicane,LateApril,2021-04-28,Wednesday,2021-05-05,7,ATL,FCO,Rome,Compagnie Natl Air France,8085.4,420.0,"AF, AM, AZ, DL, KL"
OPB-2021-06-09,Impey Barbicane,June,2021-06-09,Wednesday,2021-06-14,5,ATL,MEX,Mexico City,Compagnie Natl Air France,2143.4,420.0,"AF, AM, AZ, DL, KL, VA, VS"
OPB-2021-07-14,Impey Barbicane,July,2021-07-14,Wednesday,2021-07-19,5,ATL,CUN,Cancun,Compagnie Natl Air France,1421.7,420.0,"AF, AM, AZ, DL, FL, KL, VA, VS, WN"
OPB-2021-08-25,Impey Barbicane,LateAugust,2021-08-25,Wednesday,2021-08-30,5,ATL,SJU,San Juan,Compagnie Natl Air France,2490.9,420.0,"AF, AZ, DL, F9, FL, KL, VS, WN"
OPB-2022-01-12,Impey Barbicane,January,2022-01-12,Wednesday,2022-01-19,7,ATL,LHR,London,Compagnie Natl Air France,6760.8,420.0,"AA, AF, AY, BA, DL, IB, KL, VS"
OPB-2022-04-27,Impey Barbicane,LateApril,2022-04-27,Wednesday,2022-05-04,7,ATL,FCO,Rome,Delta Air Lines Inc.,8085.4,420.0,"AF, AM, AZ, DL, KL"
OPB-2022-06-08,Impey Barbicane,June,2022-06-08,Wednesday,2022-06-13,5,ATL,MEX,Mexico City,Delta Air Lines Inc.,2143.4,420.0,"AF, AM, AZ, DL, KL, VA, VS"
OPB-2022-07-13,Impey Barbicane,July,2022-07-13,Wednesday,2022-07-18,5,ATL,CUN,Cancun,Delta Air Lines Inc.,1421.7,420.0,"AF, AM, AZ, DL, FL, KL, VA, VS, WN"
OPB-2022-08-31,Impey Barbicane,LateAugust,2022-08-31,Wednesday,2022-09-05,5,ATL,SJU,San Juan,Delta Air Lines Inc.,2490.9,420.0,"AF, AZ, DL, F9, FL, KL, VS, WN"
OPB-2023-01-11,Impey Barbicane,January,2023-01-11,Wednesday,2023-01-18,7,ATL,LHR,London,British Airways Plc,6760.8,420.0,"AA, AF, AY, BA, DL, IB, KL, VS"
OPB-2023-04-26,Impey Barbicane,LateApril,2023-04-26,Wednesday,2023-05-03,7,ATL,FCO,Rome,Klm Royal Dutch Airlines,8085.4,420.0,"AF, AM, AZ, DL, KL"
OPB-2023-06-14,Impey Barbicane,June,2023-06-14,Wednesday,2023-06-19,5,ATL,MEX,Mexico City,Klm Royal Dutch Airlines,2143.4,420.0,"AF, AM, AZ, DL, KL, VA, VS"
OPB-2023-07-12,Impey Barbicane,July,2023-07-12,Wednesday,2023-07-17,5,ATL,CUN,Cancun,Klm Royal Dutch Airlines,1421.7,420.0,"AF, AM, AZ, DL, FL, KL, VA, VS, WN"
OPB-2023-08-30,Impey Barbicane,LateAugust,2023-08-30,Wednesday,2023-09-04,5,ATL,SJU,San Juan,Frontier Airlines Inc.,2490.9,420.0,"AF, AZ, DL, F9, FL, KL, VS, WN"
OPB-2024-01-10,Impey Barbicane,January,2024-01-10,Wednesday,2024-01-17,7,ATL,LHR,London,Delta Air Lines Inc.,6760.8,420.0,"AA, AF, AY, BA, DL, IB, KL, VS"
OPB-2024-04-24,Impey Barbicane,LateApril,2024-04-24,Wednesday,2024-05-01,7,ATL,FCO,Rome,Compagnie Natl Air France,8085.4,420.0,"AF, AM, AZ, DL, KL"
OPB-2024-06-12,Impey Barbicane,June,2024-06-12,Wednesday,2024-06-17,5,ATL,MEX,Mexico City,Compagnie Natl Air France,2143.4,420.0,"AF, AM, AZ, DL, KL, VA, VS"
OPB-2024-07-10,Impey Barbicane,July,2024-07-10,Wednesday,2024-07-15,5,ATL,CUN,Cancun,Southwest Airlines Co.,1421.7,420.0,"AF, AM, AZ, DL, FL, KL, VA, VS, WN"
OPB-2024-08-28,Impey Barbicane,LateAugust,2024-08-28,Wednesday,2024-09-02,5,ATL,SJU,San Juan,Klm Royal Dutch Airlines,2490.9,420.0,"AF, AZ, DL, F9, FL, KL, VS, WN"
OPB-2025-01-08,Impey Barbicane,January,2025-01-08,Wednesday,2025-01-15,7,ATL,LHR,London,Iberia Air Lines Of Spain,6760.8,420.0,"AA, AF, AY, BA, DL, IB, KL, VS"
OPB-2025-04-30,Impey Barbicane,LateApril,2025-04-30,Wednesday,2025-05-07,7,ATL,FCO,Rome,Delta Air Lines Inc.,8085.4,420.0,"AF, AM, AZ, DL, KL"
OPB-2025-06-11,Impey Barbicane,June,2025-06-11,Wednesday,2025-06-16,5,ATL,MEX,Mexico City,Delta Air Lines Inc.,2143.4,420.0,"AF, AM, AZ, DL, KL, VA, VS"
OPB-2025-07-09,Impey Barbicane,July,2025-07-09,Wednesday,2025-07-14,5,ATL,CUN,Cancun,Compagnie Natl Air France,1421.7,420.0,"AF, AM, AZ, DL, FL, KL, VA, VS, WN"
OPB-2025-08-27,Impey Barbicane,LateAugust,2025-08-27,Wednesday,2025-09-01,5,ATL,SJU,San Juan,Southwest Airlines Co.,2490.9,420.0,"AF, AZ, DL, F9, FL, KL, VS, WN"
OPP-2021-01-13,Jean Passepartout,January,2021-01-13,Wednesday,2021-01-20,7,JFK,CDG,Paris,American Airlines Inc.,5833.7,420.0,"AA, AF, AY, AZ, BA, DL, EY, IB, QR, SE, US"
OPP-2021-03-03,Jean Passepartout,March,2021-03-03,Wednesday,2021-03-10,7,JFK,MAD,Madrid,American Airlines Inc.,5762.2,420.0,"AA, AF, AY, BA, DL, IB, KL, US, UX"
OPP-2021-04-28,Jean Passepartout,LateApril,2021-04-28,Wednesday,2021-05-05,7,JFK,AMS,Amsterdam,Delta Air Lines Inc.,5847.5,420.0,"DL, KL"
OPP-2021-05-26,Jean Passepartout,LateMay,2021-05-26,Wednesday,2021-06-02,7,JFK,VIE,Vienna,United Air Lines Inc.,6805.0,420.0,"OS, UA"
OPP-2021-08-25,Jean Passepartout,LateAugust,2021-08-25,Wednesday,2021-08-30,5,JFK,SJU,San Juan,American Airlines Inc.,2577.9,420.0,"AA, AY, B6, DL, US"
OPP-2022-01-12,Jean Passepartout,January,2022-01-12,Wednesday,2022-01-19,7,JFK,CDG,Paris,Compagnie Natl Air France,5833.7,420.0,"AA, AF, AY, AZ, BA, DL, EY, IB, QR, SE, US"
OPP-2022-03-02,Jean Passepartout,March,2022-03-02,Wednesday,2022-03-09,7,JFK,MAD,Madrid,Compagnie Natl Air France,5762.2,420.0,"AA, AF, AY, BA, DL, IB, KL, US, UX"
OPP-2022-04-27,Jean Passepartout,LateApril,2022-04-27,Wednesday,2022-05-04,7,JFK,AMS,Amsterdam,Klm Royal Dutch Airlines,5847.5,420.0,"DL, KL"
OPP-2022-05-25,Jean Passepartout,LateMay,2022-05-25,Wednesday,2022-06-01,7,JFK,VIE,Vienna,United Air Lines Inc.,6805.0,420.0,"OS, UA"
OPP-2022-08-31,Jean Passepartout,LateAugust,2022-08-31,Wednesday,2022-09-05,5,JFK,SJU,San Juan,JetBlue Airways,2577.9,420.0,"AA, AY, B6, DL, US"
OPP-2023-01-11,Jean Passepartout,January,2023-01-11,Wednesday,2023-01-18,7,JFK,CDG,Paris,British Airways Plc,5833.7,420.0,"AA, AF, AY, AZ, BA, DL, EY, IB, QR, SE, US"
OPP-2023-03-01,Jean Passepartout,March,2023-03-01,Wednesday,2023-03-08,7,JFK,MAD,Madrid,British Airways Plc,5762.2,420.0,"AA, AF, AY, BA, DL, IB, KL, US, UX"
OPP-2023-04-26,Jean Passepartout,LateApril,2023-04-26,Wednesday,2023-05-03,7,JFK,AMS,Amsterdam,Delta Air Lines Inc.,5847.5,420.0,"DL, KL"
OPP-2023-05-31,Jean Passepartout,LateMay,2023-05-31,Wednesday,2023-06-07,7,JFK,VIE,Vienna,United Air Lines Inc.,6805.0,420.0,"OS, UA"
OPP-2023-08-30,Jean Passepartout,LateAugust,2023-08-30,Wednesday,2023-09-04,5,JFK,SJU,San Juan,Delta Air Lines Inc.,2577.9,420.0,"AA, AY, B6, DL, US"
OPP-2024-01-10,Jean Passepartout,January,2024-01-10,Wednesday,2024-01-17,7,JFK,CDG,Paris,Delta Air Lines Inc.,5833.7,420.0,"AA, AF, AY, AZ, BA, DL, EY, IB, QR, SE, US"
OPP-2024-03-06,Jean Passepartout,March,2024-03-06,Wednesday,2024-03-13,7,JFK,MAD,Madrid,Delta Air Lines Inc.,5762.2,420.0,"AA, AF, AY, BA, DL, IB, KL, US, UX"
OPP-2024-04-24,Jean Passepartout,LateApril,2024-04-24,Wednesday,2024-05-01,7,JFK,AMS,Amsterdam,Klm Royal Dutch Airlines,5847.5,420.0,"DL, KL"
OPP-2024-05-29,Jean Passepartout,LateMay,2024-05-29,Wednesday,2024-06-05,7,JFK,VIE,Vienna,United Air Lines Inc.,6805.0,420.0,"OS, UA"
OPP-2024-08-28,Jean Passepartout,LateAugust,2024-08-28,Wednesday,2024-09-02,5,JFK,SJU,San Juan,American Airlines Inc.,2577.9,420.0,"AA, AY, B6, DL, US"
OPP-2025-01-08,Jean Passepartout,January,2025-01-08,Wednesday,2025-01-15,7,JFK,CDG,Paris,Iberia Air Lines Of Spain,5833.7,420.0,"AA, AF, AY, AZ, BA, DL, EY, IB, QR, SE, US"
OPP-2025-03-05,Jean Passepartout,March,2025-03-05,Wednesday,2025-03-12,7,JFK,MAD,Madrid,Iberia Air Lines Of Spain,5762.2,420.0,"AA, AF, AY, BA, DL, IB, KL, US, UX"
OPP-2025-04-30,Jean Passepartout,LateApril,2025-04-30,Wednesday,2025-05-07,7,JFK,AMS,Amsterdam,Delta Air Lines Inc.,5847.5,420.0,"DL, KL"
OPP-2025-05-28,Jean Passepartout,LateMay,2025-05-28,Wednesday,2025-06-04,7,JFK,VIE,Vienna,United Air Lines Inc.,6805.0,420.0,"OS, UA"
OPP-2025-08-27,Jean Passepartout,LateAugust,2025-08-27,Wednesday,2025-09-01,5,JFK,SJU,San Juan,JetBlue Airways,2577.9,420.0,"AA, AY, B6, DL, US"
OPG-2021-01-13,Mary Grant,January,2021-01-13,Wednesday,2021-01-20,7,PHL,BCN,Barcelona,American Airlines Inc.,6299.9,420.0,"AA, US"
OPG-2021-03-03,Mary Grant,March,2021-03-03,Wednesday,2021-03-10,7,PHL,LIS,Lisbon,American Airlines Inc.,5550.7,420.0,"AA, TP, US"
OPG-2021-06-09,Mary Grant,June,2021-06-09,Wednesday,2021-06-14,5,PHL,CUN,Cancun,American Airlines Inc.,2367.8,420.0,"AA, F9, US"
OPG-2021-07-14,Mary Grant,July,2021-07-14,Wednesday,2021-07-19,5,PHL,SJU,San Juan,American Airlines Inc.,2542.8,420.0,"AA, F9, US"
OPG-2021-08-25,Mary Grant,LateAugust,2021-08-25,Wednesday,2021-08-30,5,PHL,MCO,Orlando,American Airlines Inc.,1388.6,215.0,"AA, F9, FL, US, WN"
OPG-2022-01-12,Mary Grant,January,2022-01-12,Wednesday,2022-01-19,7,PHL,BCN,Barcelona,American Airlines Inc.,6299.9,420.0,"AA, US"
OPG-2022-03-02,Mary Grant,March,2022-03-02,Wednesday,2022-03-09,7,PHL,LIS,Lisbon,TAP-TAP Air Portugal,5550.7,420.0,"AA, TP, US"
OPG-2022-06-08,Mary Grant,June,2022-06-08,Wednesday,2022-06-13,5,PHL,CUN,Cancun,Frontier Airlines Inc.,2367.8,420.0,"AA, F9, US"
OPG-2022-07-13,Mary Grant,July,2022-07-13,Wednesday,2022-07-18,5,PHL,SJU,San Juan,Frontier Airlines Inc.,2542.8,420.0,"AA, F9, US"
OPG-2022-08-31,Mary Grant,LateAugust,2022-08-31,Wednesday,2022-09-05,5,PHL,MCO,Orlando,Frontier Airlines Inc.,1388.6,215.0,"AA, F9, FL, US, WN"
OPG-2023-01-11,Mary Grant,January,2023-01-11,Wednesday,2023-01-18,7,PHL,BCN,Barcelona,American Airlines Inc.,6299.9,420.0,"AA, US"
OPG-2023-03-01,Mary Grant,March,2023-03-01,Wednesday,2023-03-08,7,PHL,LIS,Lisbon,American Airlines Inc.,5550.7,420.0,"AA, TP, US"
OPG-2023-06-14,Mary Grant,June,2023-06-14,Wednesday,2023-06-19,5,PHL,CUN,Cancun,American Airlines Inc.,2367.8,420.0,"AA, F9, US"
OPG-2023-07-12,Mary Grant,July,2023-07-12,Wednesday,2023-07-17,5,PHL,SJU,San Juan,American Airlines Inc.,2542.8,420.0,"AA, F9, US"
OPG-2023-08-30,Mary Grant,LateAugust,2023-08-30,Wednesday,2023-09-04,5,PHL,MCO,Orlando,Southwest Airlines Co.,1388.6,215.0,"AA, F9, FL, US, WN"
OPG-2024-01-10,Mary Grant,January,2024-01-10,Wednesday,2024-01-17,7,PHL,BCN,Barcelona,American Airlines Inc.,6299.9,420.0,"AA, US"
OPG-2024-03-06,Mary Grant,March,2024-03-06,Wednesday,2024-03-13,7,PHL,LIS,Lisbon,TAP-TAP Air Portugal,5550.7,420.0,"AA, TP, US"
OPG-2024-06-12,Mary Grant,June,2024-06-12,Wednesday,2024-06-17,5,PHL,CUN,Cancun,Frontier Airlines Inc.,2367.8,420.0,"AA, F9, US"
OPG-2024-07-10,Mary Grant,July,2024-07-10,Wednesday,2024-07-15,5,PHL,SJU,San Juan,Frontier Airlines Inc.,2542.8,420.0,"AA, F9, US"
OPG-2024-08-28,Mary Grant,LateAugust,2024-08-28,Wednesday,2024-09-02,5,PHL,MCO,Orlando,American Airlines Inc.,1388.6,215.0,"AA, F9, FL, US, WN"
OPG-2025-01-08,Mary Grant,January,2025-01-08,Wednesday,2025-01-15,7,PHL,BCN,Barcelona,American Airlines Inc.,6299.9,420.0,"AA, US"
OPG-2025-03-05,Mary Grant,March,2025-03-05,Wednesday,2025-03-12,7,PHL,LIS,Lisbon,American Airlines Inc.,5550.7,420.0,"AA, TP, US"
OPG-2025-06-11,Mary Grant,June,2025-06-11,Wednesday,2025-06-16,5,PHL,CUN,Cancun,American Airlines Inc.,2367.8,420.0,"AA, F9, US"
OPG-2025-07-09,Mary Grant,July,2025-07-09,Wednesday,2025-07-14,5,PHL,SJU,San Juan,American Airlines Inc.,2542.8,420.0,"AA, F9, US"
